"""Identificador URL""";"Nome";"Categorias";"Nome da varia��o 1";"Valor da varia��o 1";"Nome da varia��o 2";"Valor da varia��o 2";"Nome da varia��o 3";"Valor da varia��o 3";"Pre�o";"Pre�o promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"C�digo de barras";"Exibir na loja";"Frete gratis";"Descri��o";"Tags";"T�tulo para SEO";"Descri��o para SEO";"Marca";"Produto F�sico";"MPN (C�d. Exclusivo, Modelo Fabricante)";"Sexo";"Faixa et�ria";"Custo";"URL image"
"truss-miracle-shampoo-300ml";"Truss Miracle - Shampoo 300ml";;;;;;;;"92.00";;"0.30";"0.00";"0.00";"0.00";"0";"T04";;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-miracle-shampoo-300ml/1-captura-de-tela-2023-09-06-as-15-30-091-d81227bb6f3d95d2df16940283720917-1024-1024.webp"
"truss-equilibrium-condicionador-300ml";"Truss Equilibrium - Condicionador 300ml";;;;;;;;"119.00";;"0.30";"0.00";"0.00";"0.00";"6";"T03";;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-equilibrium-condicionador-300ml/1-captura-de-tela-2023-09-06-as-15-05-291-62ef218f7824d3c65b16940241150158-1024-1024.webp"
"truss-amino-protetor-termico-225ml";"Truss Amino - Protetor T�rmico 225ml";;;;;;;;"215.00";;"0.23";"0.00";"0.00";"0.00";"5";"T02";;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-amino-protetor-termico-225ml/1-captura-de-tela-2023-09-06-as-10-42-141-adfedcc0bd375872ba16940235157270-1024-1024.webp"
"truss-equilibrium-shampoo-300ml";"Truss Equilibrium - Shampoo 300ml";;;;;;;;"109.00";;"0.30";"0.00";"0.00";"0.00";"6";"T01";;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-equilibrium-shampoo-300ml/1-captura-de-tela-2023-09-06-as-14-53-411-924e33330fa5506e2416940230589260-1024-1024.webp"
"kerastase-nutritive-bain-satin-shampoo-250ml";"K�rastase Nutritive Bain Satin - Shampoo 250ml";;;;;;;;"259.00";;"0.25";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kerastase-nutritive-bain-satin-shampoo-250ml/1-captura-de-tela-2023-09-01-as-17-33-501-91a19cbf0655ada99e16936005525946-1024-1024.webp"
"kerastase-nutritive-bain-satin-riche-shampoo-250ml";"K�rastase Nutritive Bain Satin Riche - Shampoo 250ml";;;;;;;;"249.00";;"0.25";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/kerastase-nutritive-bain-satin-riche-shampoo-250ml/1-captura-de-tela-2023-09-01-as-17-16-061-4c7bbff3821af7147e16936002834900-1024-1024.webp"
"loreal-professionnel-curl-expression-serie-expert-curls-reviver-leave-in-190ml";"L'Or�al Professionnel Curl Expression Serie Expert Curls Reviver Leave-in - 190ml";;;;;;;;"182.00";;"0.19";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/loreal-professionnel-curl-expression-serie-expert-curls-reviver-leave-in-190ml/1-captura-de-tela-2023-08-10-as-17-11-351-54b5f1adc8ccdef5c716916984331472-1024-1024.webp"
"paul-mitchell-color-protect-tratamento-reconstrutor-150ml";"Paul Mitchell Color Protect - Tratamento Reconstrutor 150ml";;;;;;;;"189.00";;"0.15";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/paul-mitchell-color-protect-tratamento-reconstrutor-150ml/1-captura-de-tela-2023-08-10-as-11-44-501-10f8d23d01b9cc0d6c16916787545588-1024-1024.webp"
"redken-extreme-condicionador-300ml";"Redken Extreme - Condicionador 300ml";;;;;;;;"189.00";;"0.30";"0.00";"0.00";"0.00";"4";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/redken-extreme-condicionador-300ml/1-captura-de-tela-2023-08-10-as-10-48-311-f33c4a03cdcf12194f16916753764871-1024-1024.webp"
"redken-extreme-shampoo-300ml";"Redken Extreme - Shampoo 300ml";;;;;;;;"155.00";;"0.30";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/redken-extreme-shampoo-300ml/1-captura-de-tela-2023-08-10-as-10-46-221-4a0c9cfab7aea069ef16916752572636-1024-1024.webp"
